district,season,record_month,temperature_c,humidity_pct,wind_speed_kmh,surface_pressure_hpa,crop_fires_detected,blue_mean,blue_std,blue_skewness,blue_high_ratio,blue_dominance,laplacian_var,sobel_mean,edge_density,hsi_saturation_mean,haze_index,dark_channel_mean,fft_high_energy_ratio,gray_contrast,blue_red_ratio,local_variance_mean,hot_index,ndsi_index,modis_aod,pm25_target,pm25_waqi_ref,severity_class,label_source,source_image_id
Lahore,Autumn_Harvest,9,24.9,84.0,1.3,979.8,12,122.801,4.758,0.015,0.2946,0.974,77.741,9.178,0.0,0.0871,3.997,120.858,0.00019,15.0,0.9991,4.658,0.161,-0.0,0.57,78.7,65.0,2,Copernicus CAMS via Open-Meteo,Lahore_Autumn_Harvest_2024-09-18
Lahore,Summer,5,25.6,39.0,7.4,967.5,1,69.967,12.472,0.141,0.286,0.744,87.842,26.941,0.017,0.4057,1.029,69.967,0.00044,43.0,0.5967,49.256,-0.036,-0.253,0.12,33.2,65.0,0,Copernicus CAMS via Open-Meteo,Lahore_Summer_2024-05-28
Lahore,Winter_Peak,1,5.0,99.0,2.5,990.6,10,195.853,2.998,-0.535,0.2851,0.963,70.19,8.797,0.0,0.0808,6.49,195.717,7e-05,7.0,0.9731,4.399,0.293,-0.014,0.81,190.5,65.0,3,Copernicus CAMS via Open-Meteo,Lahore_Winter_Peak_2024-01-15
Lahore,Summer,5,28.1,54.0,16.3,979.1,1,135.102,29.686,-0.774,0.1728,0.986,273.539,32.959,0.0514,0.0566,5.871,133.265,0.00089,117.0,0.9932,135.303,0.183,-0.003,0.86,41.4,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Summer_2023-05-25
Lahore,Summer,5,25.7,36.0,6.3,978.7,0,68.419,12.449,-0.28,0.3462,0.802,81.813,28.2,0.0313,0.3069,1.137,68.419,0.00051,37.0,0.6958,48.29,-0.004,-0.179,0.22,18.2,65.0,0,Copernicus CAMS via Open-Meteo,Lahore_Summer_2024-05-01
Lahore,Autumn_Harvest,10,20.8,76.0,8.0,984.1,10,120.189,6.232,-0.186,0.3166,0.93,39.472,8.762,0.0,0.1185,3.291,120.182,0.0001,17.0,0.9154,5.099,0.134,-0.044,0.23,91.3,65.0,2,Copernicus CAMS via Open-Meteo,Lahore_Autumn_Harvest_2024-10-15
Lahore,Winter_Peak,11,16.3,97.0,5.1,989.7,10,48.828,2.987,-0.006,0.2874,1.02,81.946,8.72,0.0,0.1206,1.323,44.702,0.00141,6.0,1.0739,4.001,0.022,0.036,1.57,262.6,65.0,3,Copernicus CAMS via Open-Meteo,Lahore_Winter_Peak_2024-11-15
Lahore,Summer,5,32.3,39.0,6.8,979.4,1,79.175,10.383,-0.576,0.3369,0.817,89.164,25.114,0.0095,0.3115,1.277,79.174,0.00041,31.0,0.6895,37.088,0.005,-0.184,0.39,32.1,65.0,0,Copernicus CAMS via Open-Meteo,Lahore_Summer_2024-05-18
Lahore,Winter_Peak,11,21.8,75.0,1.8,990.6,7,168.147,6.28,-0.051,0.3329,1.036,18.359,6.715,0.0,0.0701,5.694,156.433,4e-05,22.0,1.0749,2.981,0.273,0.036,0.32,87.5,65.0,2,Copernicus CAMS via Open-Meteo,Lahore_Winter_Peak_2023-11-05
Lahore,Winter_Peak,11,16.7,88.0,7.4,991.5,14,130.198,15.441,1.699,0.166,1.005,153.887,21.25,0.0267,0.0451,5.728,126.636,0.00055,54.0,0.9969,60.575,0.174,-0.002,1.81,80.6,65.0,2,Copernicus CAMS via Open-Meteo,Lahore_Winter_Peak_2023-11-30
Lahore,Autumn_Harvest,9,31.9,67.0,6.6,977.9,9,125.854,17.234,1.072,0.2002,0.972,131.07,26.962,0.0236,0.1252,3.272,122.313,0.00046,59.0,1.0218,79.803,0.172,0.011,0.76,48.0,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Autumn_Harvest_2024-09-10
Lahore,Winter_Peak,12,7.6,94.0,7.0,988.7,9,84.809,8.833,-0.19,0.3218,0.898,79.662,20.704,0.0007,0.1678,1.967,84.768,0.00037,26.0,0.8687,23.541,0.061,-0.07,0.32,84.8,65.0,2,Copernicus CAMS via Open-Meteo,Lahore_Winter_Peak_2023-12-10
Lahore,Summer,6,33.4,33.0,19.0,979.2,0,99.284,9.69,-0.409,0.3429,0.844,18.987,13.01,0.0,0.2344,1.825,99.284,6e-05,23.0,0.7679,10.827,0.056,-0.131,0.59,27.0,65.0,0,Copernicus CAMS via Open-Meteo,Lahore_Summer_2023-06-05
Lahore,Monsoon,8,32.9,63.0,6.7,978.5,1,158.771,21.216,0.173,0.3577,0.996,82.574,17.457,0.0042,0.0594,6.139,154.455,0.00022,62.0,0.9683,25.993,0.221,-0.016,0.75,41.9,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Monsoon_2024-08-25
Lahore,Summer,6,33.1,38.0,11.4,969.3,1,120.708,4.965,0.45,0.2699,0.956,53.448,8.904,0.0,0.1104,3.398,120.08,0.00014,15.0,0.8938,4.746,0.129,-0.056,0.62,65.7,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Summer_2024-06-20
Lahore,Winter_Peak,11,28.3,44.0,7.2,988.5,5,143.432,5.267,-0.185,0.3208,1.045,16.802,5.894,0.0,0.08,4.464,132.006,5e-05,19.0,1.0864,2.222,0.224,0.041,0.47,52.4,65.0,1,Copernicus CAMS via Open-Meteo,Lahore_Winter_Peak_2023-11-05
